index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
2556,Burger King,Fast food restaurants,11566,Merrick,1727 Merrick Rd,40.654.022,-73.558.266,2018-06-14T19:40:35Z,http://www.bk.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJfuvQ8x2DryWuAZeFrEU0FigRXuaVztftnSZ3Ur5ezgcZ5TdJksYHYFqiiXLIGn2606Uo15u6iYKJ55kdBhwkUiku5h79XTnnfUjsVFSlokXjF5GbL1j9uEzopwc8CRV-xl9nyZIc3F7KvLcwFqFI9-MhvJOW1QWygsbHZ1yFN9q0fQ6TrAGNfo53Qhm2uw3mW7VHaIvhLNujMFc5Oh_O4JdXOdh6350LnUpEedANMtshxFWpIht4bwas2_grP8GWPHmZvojwvIakNbyvD-WgdGig7zt6jPZ9Af6lYPgFUwlrrCHjfktzPzSSnBKNfsUGeturRdb0hdLWl7CxhoshVQ&placement=listing_profile&cs_user=unknown&cs_session=ff1b6ee92c28a40fd87c8f8d1d5b7a6ecd16e095
2557,Burger King,Fast Food Restaurant and Burger Joint,11566,Merrick,1727 Merrick Rd,40.654.022,-73.558.266,2018-06-14T19:40:35Z,http://www.bk.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJfuvQ8x2DryWuAZeFrEU0FigRXuaVztftnSZ3Ur5ezgcZ5TdJksYHYFqiiXLIGn2606Uo15u6iYKJ55kdBhwkUiku5h79XTnnfUjsVFSlokXjF5GbL1j9uEzopwc8CRV-xl9nyZIc3F7KvLcwFqFI9-MhvJOW1QWygsbHZ1yFN9q0fQ6TrAGNfo53Qhm2uw3mW7VHaIvhLNujMFc5Oh_O4JdXOdh6350LnUpEedANMtshxFWpIht4bwas2_grP8GWPHmZvojwvIakNbyvD-WgdGig7zt6jPZ9Af6lYPgFUwlrrCHjfktzPzSSnBKNfsUGeturRdb0hdLWl7CxhoshVQ&placement=listing_profile&cs_user=unknown&cs_session=ff1b6ee92c28a40fd87c8f8d1d5b7a6ecd16e095
2558,Burger King,Fast Food Restaurant,11561,Long Beach,2 E Park Ave,4.058.838,-73.663.894,2018-06-14T19:40:30Z,http://www.bk.com
2559,Burger King,Fast Food Restaurant,13090,Liverpool,4035 State Route 31,43.185.498,-76.234.803,2018-06-14T19:40:28Z,http://www.bk.com
2560,Burger King,Fast Food Restaurant and Burger Joint,12754,Liberty,47 Sullivan Ave,4.178.515,-74.729.017,2018-06-14T19:40:27Z,https://locations.bk.com/ny/liberty/47-sullivan-ave.html and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ2VOeC4BOz6XqptibQJm7BaLWEMKRRh6rCZHjhv4ABwuH_mSLmJihIQzjwjXrBduK6dzcXXy_z85wr5wGBZcZgS9wnzlyoIoFQGJvDv0PisK7R0OJ8YxNtg9y7LGEYvuXonC7AJpqKGRx9sYWmpo-B-qE_Eusdq6XgDNXW3OnfHEIaQcwlrt1UBQ3zgGpiThQplsiVri1idxLxpi3ANExxJRSHJj0zdhkr_6MCLzFOmk_qo_OD5m_jzJ8NwqKhhDdQUh3JHdqj2TNLygUzF_JV-4MlSKA56zIM-BEIy3l_CtT5jrd2bbVlyy335Z-BVB9mYqI6h6dLIF6vWqOnJjNzg&placement=listing_profile&cs_user=unknown&cs_session=d6284510b82f61e9f8f6cae0393d5a92c4eb6810 and http://www.bk.com
2561,Burger King,Fast Food Restaurant and Burger Joint,11753,Jericho,334 N Broadway,40.784.274,-73.533.208,2018-06-14T19:40:22Z,http://bk.com
2562,Burger King,Fast Food Restaurants,14850,Ithaca,1010 Ellis Hollow Rd,42.436.049,-76.463.555,2018-06-14T19:40:20Z,http://www.bk.com and https://locations.bk.com/ny/ithaca/1010-ellis-hollow-rd.html
2563,Subway,Fast Food Restaurants,85331,Cave Creek,4815 E Carefree Hwy,33.798.642,-111.976.421,2018-06-14T19:38:41Z,http://subway.com/ and http://www.subway.com
2564,Subway,Fast Food Restaurants,85750,Tucson,6878 E Sunrise Dr,32.306.803,-110.845.362,2018-06-14T19:38:38Z,http://www.subway.com
2565,Subway,Fast Food Restaurants,85301,Glendale,5757 W Glendale Ave,33.538.574,-112.183.513,2018-06-14T19:38:37Z,http://subway.com and http://subway.com/
